timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1712929451284,392,configuration_3,200,OK,configuration_3_users 1-1,text,true,,231,157,1,1,http://localhost:8080/?token=490561687&user=2080904185&config=3,392,0,1
1712929453281,398,configuration_3,200,OK,configuration_3_users 1-2,text,true,,231,157,2,2,http://localhost:8080/?token=490561687&user=2080904185&config=3,398,0,1
1712929454282,357,configuration_3,200,OK,configuration_3_users 1-1,text,true,,231,157,2,2,http://localhost:8080/?token=490561687&user=2080904185&config=3,357,0,0
1712929455281,400,configuration_3,200,OK,configuration_3_users 1-3,text,true,,231,157,3,3,http://localhost:8080/?token=490561687&user=2080904185&config=3,400,0,0
1712929456282,341,configuration_3,200,OK,configuration_3_users 1-2,text,true,,231,157,3,3,http://localhost:8080/?token=490561687&user=2080904185&config=3,341,0,0
1712929457280,359,configuration_3,200,OK,configuration_3_users 1-1,text,true,,231,157,4,4,http://localhost:8080/?token=490561687&user=2080904185&config=3,359,0,0
1712929457279,405,configuration_3,200,OK,configuration_3_users 1-4,text,true,,231,157,4,4,http://localhost:8080/?token=490561687&user=2080904185&config=3,405,0,1
1712929458283,351,configuration_3,200,OK,configuration_3_users 1-3,text,true,,231,157,4,4,http://localhost:8080/?token=490561687&user=2080904185&config=3,351,0,0
1712929459279,442,configuration_3,200,OK,configuration_3_users 1-2,text,true,,231,157,5,5,http://localhost:8080/?token=490561687&user=2080904185&config=3,442,0,0
1712929459280,982,configuration_3,200,OK,configuration_3_users 1-5,text,false,"The operation lasted too long: It took 982 milliseconds, but should not have lasted longer than 530 milliseconds.",231,157,5,5,http://localhost:8080/?token=490561687&user=2080904185&config=3,982,0,1
1712929460279,356,configuration_3,200,OK,configuration_3_users 1-1,text,true,,231,157,5,5,http://localhost:8080/?token=490561687&user=2080904185&config=3,356,0,0
1712929460281,359,configuration_3,200,OK,configuration_3_users 1-4,text,true,,231,157,5,5,http://localhost:8080/?token=490561687&user=2080904185&config=3,359,0,0
1712929461282,360,configuration_3,200,OK,configuration_3_users 1-3,text,true,,231,157,6,6,http://localhost:8080/?token=490561687&user=2080904185&config=3,360,0,0
1712929461280,403,configuration_3,200,OK,configuration_3_users 1-6,text,true,,231,157,6,6,http://localhost:8080/?token=490561687&user=2080904185&config=3,403,0,1
1712929462282,387,configuration_3,200,OK,configuration_3_users 1-2,text,true,,231,157,6,6,http://localhost:8080/?token=490561687&user=2080904185&config=3,387,0,0
1712929462282,389,configuration_3,200,OK,configuration_3_users 1-5,text,true,,231,157,6,6,http://localhost:8080/?token=490561687&user=2080904185&config=3,389,0,0
1712929463279,375,configuration_3,200,OK,configuration_3_users 1-1,text,true,,231,157,7,7,http://localhost:8080/?token=490561687&user=2080904185&config=3,375,0,0
1712929463281,385,configuration_3,200,OK,configuration_3_users 1-4,text,true,,231,157,7,7,http://localhost:8080/?token=490561687&user=2080904185&config=3,385,0,0
1712929463280,428,configuration_3,200,OK,configuration_3_users 1-7,text,true,,231,157,7,7,http://localhost:8080/?token=490561687&user=2080904185&config=3,428,0,1
1712929464280,357,configuration_3,200,OK,configuration_3_users 1-6,text,true,,231,157,7,7,http://localhost:8080/?token=490561687&user=2080904185&config=3,357,0,0
1712929464282,363,configuration_3,200,OK,configuration_3_users 1-3,text,true,,231,157,7,7,http://localhost:8080/?token=490561687&user=2080904185&config=3,363,0,0
1712929465281,365,configuration_3,200,OK,configuration_3_users 1-2,text,true,,231,157,8,8,http://localhost:8080/?token=490561687&user=2080904185&config=3,365,0,0
1712929465282,365,configuration_3,200,OK,configuration_3_users 1-5,text,true,,231,157,8,8,http://localhost:8080/?token=490561687&user=2080904185&config=3,365,0,0
1712929465280,734,configuration_3,200,OK,configuration_3_users 1-8,text,false,"The operation lasted too long: It took 734 milliseconds, but should not have lasted longer than 530 milliseconds.",231,157,8,8,http://localhost:8080/?token=490561687&user=2080904185&config=3,734,0,1
1712929466280,363,configuration_3,200,OK,configuration_3_users 1-7,text,true,,231,157,8,8,http://localhost:8080/?token=490561687&user=2080904185&config=3,363,0,0
1712929466279,367,configuration_3,200,OK,configuration_3_users 1-1,text,true,,231,157,8,8,http://localhost:8080/?token=490561687&user=2080904185&config=3,367,0,0
1712929466280,366,configuration_3,200,OK,configuration_3_users 1-4,text,true,,231,157,8,8,http://localhost:8080/?token=490561687&user=2080904185&config=3,366,0,0
1712929467283,367,configuration_3,200,OK,configuration_3_users 1-6,text,true,,231,157,9,9,http://localhost:8080/?token=490561687&user=2080904185&config=3,367,0,0
1712929467283,367,configuration_3,200,OK,configuration_3_users 1-3,text,true,,231,157,9,9,http://localhost:8080/?token=490561687&user=2080904185&config=3,367,0,0
1712929467281,409,configuration_3,200,OK,configuration_3_users 1-9,text,true,,231,157,9,9,http://localhost:8080/?token=490561687&user=2080904185&config=3,409,0,0
